,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,location_id,assigneeid,time
1436965,10515318,10515318-1,0,IN,G06N,gby60ol0g4jd,366162.0,2016/9/30
1282591,10460257,10210157-1,0,IN,G06N,2w5mf75onn8h,362161.0,2016/9/8
1282593,10460257,10460257-1,0,IN,G06N,35ahivx7bajd,362161.0,2016/9/8
1282592,10460257,10409913-1,0,IN,G06N,u7yrzzqgrdzm,362161.0,2016/9/8
709842,10255549,8543552-3,0,IN,G06N,6k3pgvchllz8,189347.0,2017/1/27
709840,10255549,8219498-5,0,IN,G06N,gby60ol0g4jd,189347.0,2017/1/27
709841,10255549,8296175-1,0,IN,G06N,24n934aekjoa,189347.0,2017/1/27
469769,10169709,9818063-1,0,IN,G06N,ro1y18ekr3rb,190025.0,2017/10/19
1221341,10438118,8140817-5,0,IN,G06N,4hbd2mzsjx1a,376421.0,2017/10/9
1221345,10438118,9817814-3,0,IN,G06N,qtzuc79bhw39,376421.0,2017/10/9
1221344,10438118,9817814-2,0,IN,G06N,lnfy7ldpzvmk,376421.0,2017/10/9
1221343,10438118,8935654-2,0,IN,G06N,gby60ol0g4jd,376421.0,2017/10/9
1221338,10438118,10073763-10,0,IN,G06N,gby60ol0g4jd,376421.0,2017/10/9
1221339,10438118,10438118-6,0,IN,G06N,gby60ol0g4jd,376421.0,2017/10/9
1221340,10438118,10438118-7,0,IN,G06N,vphflsvwiifb,376421.0,2017/10/9
1221342,10438118,8166049-1,0,IN,G06N,5a9c9evyif1y,376421.0,2017/10/9
469730,10169699,10127492-3,0,IN,G06N,dp903o1s35c1,189347.0,2017/11/14
469732,10169699,8495262-2,0,IN,G06N,9dpgqcu0wr2o,189347.0,2017/11/14
1302873,10467535,9208065-1,0,IN,G06N,6k3pgvchllz8,189347.0,2017/12/15
1302874,10467535,9582264-1,0,IN,G06N,8vy6qzqa9wum,189347.0,2017/12/15
1302875,10467535,9946437-4,0,IN,G06N,gby60ol0g4jd,189347.0,2017/12/15
1404658,10504031,9870535-4,0,IN,G06N,24n934aekjoa,179514.0,2017/12/6
1404657,10504031,9870535-3,0,IN,G06N,24n934aekjoa,179514.0,2017/12/6
