DirectorID,DirectorName,openn_m5u,consc_m5u,extra_m5u,agree_m5u,neuro_m5u
48601,"Wick Moorman IV",4.5914936,5.3104825,5.2698526,3.8063228,3.5651748
48701,"Michael Roth",5.0387082,6.2959447,5.6323028,4.1659112,1.5843221
48721,"Herb Henkel",4.4934154,4.8438125,5.6918917,3.5615878,3.38254
49036,"Doug Berthiaume",4.9107347,5.2544055,5.0401974,4.5479121,3.1556509
49211,"Murray Martin",4.9448032,5.1095543,5.206809,4.7140751,3.134459
49341,"Bruce Chizen",5.3750401,5.1368756,5.1453953,4.9097157,2.7164805
49351,"Shantanu Narayen",5.6609769,5.1412539,5.5363679,5.5964117,2.5803001
49666,"John Rutherfurd Jr",4.5032644,5.0335751,4.4741411,3.3827798,3.4187737
49681,"Raymond McDaniel Jr",4.7731462,5.2614985,5.0167651,4.0410333,3.0917771
49761,"Steve Odland",4.5948181,5.3323746,5.3737049,3.7136109,3.0332813
49801,"Mike Brown",5.0447936,5.3635883,3.1071496,4.2430887,3.9578078
49851,"Bill Greehey",3.7169523,4.4661579,3.2813706,3.0225663,4.3173895
49961,"Wendell Weeks",4.618937,4.8886652,5.0404835,4.2224221,3.3832645
49976,"Mark Ernst",5.0895109,5.4323087,5.1064715,4.0960941,2.945049
50156,"John Richels",3.6192603,4.7353702,3.7525268,3.1521907,4.4176998
50231,"Jeff Yabuki",5.3312612,5.6209421,5.1519995,4.6270547,2.8472211
50311,"Eddie Lampert",4.4748378,5.0138788,4.8650541,2.7154028,2.2368889
50466,"Alan Bennett",4.7650261,5.2831688,4.7894092,4.5688386,3.3689475
50596,"William Davis III",4.0384402,4.9668436,4.2135215,3.407444,3.2697973
50876,"Ken Schroeder",4.4270153,4.8377776,4.695982,4.1585298,3.4113123
50901,"Gary Dickerson",4.4284163,4.8492479,4.7417202,5.1226768,2.919059
51071,"Rick Wallace",4.3303366,4.7692046,5.0110664,3.4405177,3.4028785
51226,"Carl Jones Jr",4.4364195,5.4587932,4.2902694,3.5661967,3.4587438
51257,"Ken Lowe",5.2640753,5.3640418,5.3195262,4.4328189,2.9631603
51262,"Rich Boehne",5.5872059,5.2190037,6.3089924,3.8549397,3.2986035
51266,"William Lauder",5.157979,5.6160302,5.1475616,4.6797605,2.7232945
51396,"Ralph Babb Jr",4.4801073,5.4655819,5.0154057,3.3952022,3.1282299
51632,"Mark Pigott",3.9847777,4.6194768,4.8638387,3.6266747,3.7548513
51642,"Charles Mueller",4.4736471,4.989718,3.7873185,4.1999168,3.8302095
51682,"Philip Neal",4.2269163,4.7482266,4.6360254,4.515789,2.9257367
51707,"Warner Baxter",4.6654258,5.5619111,4.6294217,4.0849171,3.4629226
51762,"Ed Hanway",5.459609,5.8598647,5.2115569,5.1214685,2.8338447
51792,"Al Schuman",4.9795094,4.6955318,4.5395484,3.9079876,3.2650316
51882,"Doug Baker Jr",5.0455432,4.6315165,5.7809086,5.1512823,3.2659819
51926,"Russ Lewis",4.8045454,5.5928659,4.5241556,4.2570863,3.3725863
51956,"Keith Wandell",3.9386914,4.6707325,4.7417374,4.1508732,3.5200441
52037,"Doctor Surya Mohapatra",5.4956264,5.7873025,5.4142737,5.2397814,2.6506469
52242,"Michael Ward",3.9563293,4.1813531,3.9607537,3.428689,2.9519169
52367,"Joe Clayton",4.6512461,5.1049376,4.744257,3.8223054,3.499274
52492,"Gary Rainwater",4.2220535,5.1740236,4.0278139,3.4757173,3.5299807
52597,"Tom Voss",4.2716422,3.6382606,5.219327,2.7122667,3.5049746
52686,"Jeff Joerres",5.1065445,5.8755846,5.7288704,4.3378034,1.8451272
52742,"Les Muma",4.7695918,5.2353311,5.5568128,4.262238,3.3962133
52776,"Janet Robinson",5.2015781,5.5547137,4.7271919,4.3966126,2.8396885
52791,"Don Graham",5.1045322,5.5950637,4.9680214,3.3927317,2.8269038
52822,"Bob Greifeld",4.6393819,5.2726417,5.2154684,3.9750118,3.2653074
52897,"Bud Koch",4.7840343,5.3236432,4.6020942,4.0509114,3.0188286
53117,"John Dickson",4.6054091,5.2883277,4.5117598,3.2114987,3.6248353
53267,"Phil Flynn",4.3911128,5.5176229,4.9736686,3.6736085,3.6369445
53436,"Leslie Wexner",4.8600993,5.4993138,4.9436002,3.7721245,2.9428077
53821,"James Miller",4.3718534,4.8854465,4.4946575,3.5334017,3.7382698
53871,"Janet Haugen",4.6273966,5.1272774,4.8794932,4.4617643,3.3251636
53992,"Jay Brown",4.608098,5.268393,4.7407947,3.932333,3.2944794
54042,"Gary Dunton",4.624207,5.3705149,4.8942714,3.9087484,3.143254
54072,"Richard Abdoo",4.5394664,5.3307276,4.3965912,2.4038289,4.1264973
54622,"Tom Gallagher",4.6643052,5.1124244,5.2258797,4.3956676,3.2211733
54702,"Steve Collis",5.2382336,5.6420035,5.3111,4.4526873,3.1690245
54887,"Stephen Baum",3.8151834,4.808589,3.9021642,3.0532691,3.383898
