,NAME,NATIONALITY_STATE_CODE,STATE_OF_RESIDENCE_CODE
1155204,"BAKKER, Klaas",NL,NL
1509251,"KURLAN, Roger, M.",US,US
303569,"HEINICKE, Jochen",DE,DE
1647440,"PAINE, Greg Langdon",US,US
252586,"HIGGINS, John, F.",IE,IE
993492,"OKAZAKI, Yoshio",JP,JP
887966,"MORIMOTO, Akemi",JP,JP
1341027,"ZHENG, Edward",CA,US
622502,"SMITH, Richard, D.",GB,GB
1291399,"MOORE, Michael, L.",US,US
1213777,"RASMUSON, Anders",SE,SE
216221,"MANGER, Daniela",DE,DE
726186,"LOWERY, David, E.",US,US
1720724,"DRISKELL, Jeremy",US,US
779798,"ZHELEV, Arkadiush",PL,BG
1151052,"BAKKER, Gerardus, Henricus",NL,NL
1298237,"PRICE, Kent, H.",US,US
589092,"FRIER, Eric",FR,FR
556029,"POULEAU, Jacques",FR,FR
1109191,"PARK, Pil-Joon",KR,KR
1638094,"LEAK, Bruce, Alan",US,US
1190892,"BUBLIK, Viktor Alexandrovich",RU,RU
430781,"BJORKLUND, Hans",SE,SE
958276,"NAKAJIMA, Kaiyo",JP,JP
1176646,"GLOVER, Thomas",NZ,GB
1266242,"HUANG, Jing",**,**
1828535,"KANAKARAJAN, Ravindranath C.",IN,IN
943476,"ASANO, Toshiki",JP,JP
720601,"SHIMIZU, Yoshihisa",JP,JP
614886,"MARSHALL, Peter, Edward, George",GB,GB
598238,"NAPPEZ, Philippe",FR,FR
207967,"GRAESER, Martin",DE,DE
1580100,"SPIRIG, Hans",CH,CH
1269771,"IKEDA, Hiroharau",JP,JP
753217,"PU, Tianyan",NL,NL
49549,"DEFEVER, Serge",BE,BE
1510094,"MAKOWIECKI, Jerzy",US,US
806600,"WOLF, Amnon",IL,IL
680480,"AUSTIN, Stanley, George",GB,GB
189856,"SCHWARZBAUER, Hanns, JUrgen",DE,DE
1648350,"SMIRNOV, Andrey, V.",RU,RU
314307,"JACOD, Sylvie",FR,FR
978649,"FUJITA, Toshiki",JP,JP
1447301,"LILLARD, Larry, W.",US,US
1186415,"STARIKOVSKAYA, Gennady Grigorievich",RU,RU
1434810,"BADGER, John",US,US
1553083,"BRACKNEY III, Charles, R.",US,US
1308487,"CAPARON, Maire, H.",IE,US
1319898,"ESPOSITO, Andrea",IT,IT
629716,"TARRANT, Colin, David",GB,GB
506049,"RUSH, Glenn, William",AU,AU
1688086,"NUNEZ, Anthony I.",US,US
412650,"BABIN, Helene Anne",FR,FR
119480,"LIU, Shaolong",CN,CN
1348650,"LEZHNEV, Alexej",RU,RU
1814863,"GUNNERSEN, Carrie, A.",US,US
1489338,"KEELS, Wayne A.,",US,US
1480816,"ANTOINETTE, Peter, L.",US,US
897724,"OOMURA, Hiroki",JP,JP
1160223,"VAN MAMEREN, Joost",NL,DE
859539,"KUROSAKI, Yosuke",JP,JP
55765,"RODRIGUES TORREIRO, James",BR,BR
1306689,"HSU, Ming, Feng",US,US
302848,"ROHACZEK, Gerald",AT,AT
1255714,"MUNFORD, Robert, S.",US,US
414678,"CRAGUN, Brian John",US,US
704741,"0STERGAARD, Lars JOrgen",DK,DK
938715,"MURAKAMI, Nobutoshi",JP,JP
1461134,"HENDERSON, Mark, A.",US,US
1338809,"EDWARDS, Richard, M.",US,US
1810193,"ROBERTSON, Mark, B.",US,US
506519,"DE NARDI, Domenico",IT,IT
808314,"STEINBERG, Ben Zion",IL,IL
107681,"SCHUMACHER, Urs",CH,CH
1410760,"SUBASINGHE, Nalin",US,US
1384385,"BRACKEN, Kathryn, Rene",US,US
37381,"HUME, David Arthur",AU,GB
87982,"HUANG, Huan",CA,CA
1385446,"COONEY, Michael, J.",US,US
1341378,"NEPOMUCENO, Larry",US,US
719255,"D'ALESSANDRO, Luigi",IT,IT
66244,"NUNEZ SUAREZ, Mario",CA,CA
292624,"NEDEREGGER, Matthias",DE,DE
1285227,"McDONALD, Marc, B.",US,US
1742985,"GILLESPIE, Thomas, F.",US,US
1317929,"HAN, Wenyu",CN,US
1028163,"OHSHIMA, Tomotaka",JP,JP
1750655,"DEMMEL, Jesse",US,US
1066555,TOMITSUKA Toshimizu,JP,JP
791870,"PAULUSSEN, Elvira, Johanna, Maria",NL,BE
1569827,"BARABASH, Leonid, S.",US,US
616180,"GEMMELL, Peter, Alan",GB,GB
456795,"VIANDT, Mathias",DE,DE
1713144,"MAROTTA, Giulio-giuseppe",IT,IT
326986,"BONORA, Gian, Maria",IT,IT
515579,"CHANET, Dominique",BE,BE
1079149,"KOH, Hyun, Ju",KR,KR
428871,"DUBUIS, Stephane",CH,CH
360728,"BRIESE, Harry",DE,DE
284998,"RIVA, Guido",IT,IT
1632258,"CHIN, Koei",CN,US
1449543,"SCHAEPKENS, Marc",US,US
933173,"MORITA, Hideyoshi",JP,JP
1648016,"BERMAN, Diego",AR,US
811802,"GABAI, Eliyahu",IL,IL
1800618,"BLAKE, Doris",US,US
1310993,"RUSSELL, Patrise, M.",US,US
343152,"STELZL, Ulrich",AT,DE
167018,"SCHENK, RenE",DE,DE
740539,"BROSSEUK, Raymond, Brian",CA,CA
709308,"MCCLEAN, Ian",GB,GB
1114223,"LEE, Won Hui",KR,KR
1759681,"TEVA PHARMACEUTICALS USA, INC",US,US
747757,"BERTAGNOLI, Rudolph",AT,AT
758136,"JOSHI, Sameer, Anand",IN,US
862450,"FUKUMOTO, Hiroaki",JP,JP
1545212,"LOVELY, Sydney",US,US
1312122,"RAHIL, Jubrail",JO,CA
592629,"MAZEN, Serge",FR,FR
22312,"FOGARTY, Michael",AU,AU
1501523,"ELWIN, Matthew",GB,GB
825312,"ANGA, Samson, Jayaprakash",IN,IN
654536,"MARTIN, Irene, Martha",GB,GB
123840,"ZHAO, Weiduo",CN,CN
1306092,"STEENBAKKERS, Johannes",US,US
1164767,"BJORSHOL, Nils, Harald",NO,NO
88837,"NAZAROV, Erkinjon",US,US
661400,"WEISSMANN, Charles",CH,GB
959126,"YOKOYAMA, Hitoshi",JP,JP
347649,"VAN DER JEUGD, Cornelius, A.",NL,BE
1416188,"CODER, Timothy, L.",US,US
1658321,"PARK, Chung",US,US
660709,"BIGSBY, Robert",GB,GB
594892,"DUVAL, Jean Paul",FR,FR
704586,"SARANTARIDIS, Dimitrios",GR,GB
1784910,"MAUGHAN, Jared, G.",US,US
225748,"TAOKA, Naoaki",JP,JP
479823,"GUENAT, Jean-Marc",CH,CH
535814,"ERVASTI, Kimmo, Antero",FI,FI
625607,"BASKETT, William, Carl",GB,GB
783052,"DU PREEZ, Franco, Bauer",ZA,ZA
405501,"GARNER, Jay R.",US,US
472594,"KIRPESTEIN, Koert, J., W.",NL,NL
10845,"BROOK, Sapoty",AU,AU
1085676,"KANG, Kyung-Mok",KR,KR
48334,"VANDEVOORDE, Luc",BE,BE
970897,"KADONOSONO, Kazuaki",JP,JP
1581443,"MINERATH, III, Bernard, Joseph",US,US
1805061,"AHLUWALIA, Prabhat, K.",US,US
875029,"TANBA, Akihiro",JP,JP
1835040,"SEARSON, Peter C.",US,US
83206,"GITTINS, Simon, D.",CA,CA
653089,"HART, Duncan",GB,GB
717272,"LAKO, SAndor",HU,HU
807310,"GETZ, Gad",IL,IL
120708,"ZHOU, Jianlin",CN,CN
858022,"UEDA, Kunihiko",JP,JP
1310380,"HILLCOAT, David",GB,US
88628,"LEONE, Domenico",CA,CA
903383,"SOGABE, Kouichi",JP,JP
476091,"BEIGEL, Astrid",DE,DE
1657722,"ANUMOLU, Siva Naga, Sree Priya",IN,US
1169127,"ALVESTAD, Runar",NO,NO
27610,"GRIESSER, Hans, JOrg",AU,AU
1378742,"KOENIG, James, P.",US,US
378303,"STRITZINGER, JUrgen",DE,DE
1490433,"MUSSON, Mike",US,US
363712,"NISSL, Stefan",DE,DE
1855482,"HE, Yuan",CN,US
1657623,"PARK, Min, K.",US,US
1240272,"ANASHKIN, Oleg Petrovich",SU,SU
1438146,"DIFABRITUS, Vincent, Anthony",US,US
272277,"DENG, Chuan-Zheng",CN,CN
119457,"ZHAI, Hongmei",CN,CN
1067460,TERUI Shingo,JP,JP
1239519,"GORELIK, Mikhail Viktorovich",SU,SU
1250579,"TOTH, Denis",US,US
915656,"CHEN, Wei",CN,JP
1640009,"COHEN-SOLAL, Eric, V.",FR,US
666385,"ARNOLD, David",GB,GB
634102,"WALES, Martin, Rae",GB,GB
495683,"WENDEL, Bettina",DE,DE
249031,"WEIGEL, Horst",DE,DE
457942,"Wackenhut, Martin",DE,DE
1089797,"KIM, Yong-Hak",KR,KR
1795153,"LOPEZ, Omar",US,US
937585,"ISHIMATSU, Tatsuro",JP,JP
1089930,"PARK, Chun-Soo",KR,KR
1145701,YUWARAJ KUMAR A/L Balakrishnan,MY,MY
