,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile
105,IN,A63B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,7
106,IN,C07K,0.0,0.0,0.0,0.0,0.006172839520513586,0.0,0.0,0.0,0.0,0.006172839520513586,2,38,1
107,IN,G06Q,2.0,0.007142857142857143,0.010168634503609874,0.0,0.001461067945452633,2.0,0.007142857142857143,0.010168634503609874,0.0,0.0014610679454526328,11,281,1
108,IN,C01B,0.0,0.0,0.0,0.0,0.03846202712113569,0.0,0.0,0.0,0.0,0.03846202712113569,1,10,1
109,IN,A61L,0.0,0.0,0.0,0.0,0.05555585381717332,0.0,0.0,0.0,0.0,0.05555585381717332,1,6,3
110,IN,G10L,0.0,0.0,0.0,0.0,0.010989127897728202,0.0,0.0,0.0,0.0,0.010989127897728202,2,23,1
111,IN,B24D,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,4
112,IN,F02B,0.0,0.0,0.0,0.0,0.09090953173120175,0.0,0.0,0.0,0.0,0.09090953173120175,1,3,4
113,IN,B60N,1.0,0.25,0.25,0.0,0.38461468094556467,1.0,0.25,0.25,0.0,0.38461468094556467,1,5,4
114,IN,C08L,0.0,0.0,0.0,0.0,0.02380984337554285,0.0,0.0,0.0,0.0,0.02380984337554285,1,14,1
115,IN,H01M,0.0,0.0,0.0,0.0,0.03703759535852758,0.0,0.0,0.0,0.0,0.03703759535852758,3,11,1
116,IN,G01S,0.0,0.0,0.0,0.0,0.020000186433527637,0.0,0.0,0.0,0.0,0.020000186433527637,1,14,1
117,IN,B01J,0.0,0.0,0.0,0.0,0.002525252525252525,0.0,0.0,0.0,0.0,0.002525252525252525,1,80,2
118,IN,H02K,0.0,0.0,0.0,0.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.16666666666666663,2,6,1
119,IN,B61L,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,1
120,IN,C12Q,0.0,0.0,0.0,0.0,0.01369898740173583,0.0,0.0,0.0,0.0,0.01369898740173583,2,17,2
121,IN,F01D,1.0,0.021739130434782608,0.021739130434782608,0.0,0.025641025641025578,1.0,0.021739130434782608,0.021739130434782608,0.0,0.025641025641025578,1,47,2
122,IN,C23C,0.0,0.0,0.0,0.0,0.025641308958701682,0.0,0.0,0.0,0.0,0.025641308958701682,1,11,6
123,IN,C10L,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,1
124,IN,G01C,1.0,0.047619047619047616,0.047619047619047616,0.0,0.05555548920783926,1.0,0.047619047619047616,0.047619047619047616,0.0,0.05555548920783926,1,22,1
125,IN,H01B,0.0,0.0,0.0,0.0,0.03125023999999999,0.0,0.0,0.0,0.0,0.03125023999999999,1,8,9
