,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile,decile_1stGMI_Sara
141,FI,B29C,0.0,0.0,0.0,0.0,0.0188682483831039,0.0,0.0,0.0,0.0,0.0188682483831039,1,17,2,2.0
142,FI,H01G,1.0,0.5,0.5,0.0,0.454545234134399,1.0,0.5,0.5,0.0,0.454545234134399,1,3,6,6.0
143,FI,H04S,0.0,0.0,0.0,0.0,0.0212766916633269,0.0,0.0,0.0,0.0,0.0212766916633269,1,11,1,1.0
144,FI,A61K,3.0,0.0357142857142857,0.0357142857142857,0.0,0.0123456790123456,3.0,0.0357142857142857,0.0357142857142857,0.0,0.0123456790123456,1,85,2,2.0
145,FI,B60P,0.0,0.0,0.0,0.0,0.0833337807257599,0.0,0.0,0.0,0.0,0.0833337807257599,1,4,5,5.0
146,FI,H01J,1.0,0.1666666666666666,0.1666666666666666,0.0,0.1612902815080693,1.0,0.1666666666666666,0.1666666666666666,0.0,0.1612902815080693,1,7,4,4.0
147,FI,H02G,0.0,0.0,0.0,0.0,0.0625004799999999,0.0,0.0,0.0,0.0,0.0625004799999999,1,4,6,6.0
148,FI,C09D,4.0,0.4,0.4899999999999999,0.0,0.0880060133807441,4.0,0.4,0.4899999999999999,0.0,0.0880060133807441,1,11,3,3.0
149,FI,G06Q,4.0,0.0689655172413793,0.0689655172413793,0.0,0.0193049555443086,4.0,0.0689655172413793,0.0689655172413793,0.0,0.0193049555443086,1,59,4,4.0
150,FI,H04N,0.0,0.0,0.0,0.0,0.0035087719298258,0.0,0.0,0.0,0.0,0.0035087719298258,1,69,2,2.0
151,FI,H02J,0.0,0.0,0.0,0.0,0.0227278280693303,0.0,0.0,0.0,0.0,0.0227278280693303,1,16,5,5.0
152,FI,A01N,0.0,0.0,0.0,0.0,0.0322583109515835,0.0,0.0,0.0,0.0,0.0322583109515835,1,7,10,10.0
153,FI,C22B,3.0,0.1034482758620689,0.1839080459770115,0.0270935960591133,0.0360718549538601,3.0,0.1034482758620689,0.1839080459770115,0.0270935960591133,0.0360718549538601,1,30,1,1.0
154,FI,G01V,2.0,0.3333333333333333,0.3333333333333333,0.0,0.1428571428571428,1.0,0.1666666666666666,0.2222222222222222,0.0,0.1111118190712761,2,7,2,2.0
155,FI,G01N,2.0,0.0150375939849624,0.0169172932330827,0.0,0.0070474799531485,2.0,0.0150375939849624,0.0169172932330827,0.0,0.0070474799531485,1,134,5,5.0
156,FI,C12N,2.0,0.0363636363636363,0.0363636363636363,0.0,0.0111940298507462,2.0,0.0363636363636363,0.0363636363636363,0.0,0.0111940298507462,2,56,3,3.0
157,FI,G05B,0.0,0.0,0.0,0.0,0.0238097283317759,0.0,0.0,0.0,0.0,0.0238097283317759,1,10,8,8.0
158,FI,C08F,3.0,0.0789473684210526,0.2072368421052631,0.0,0.0230610880900477,3.0,0.0789473684210526,0.2072368421052631,0.0,0.0230610880900477,1,39,1,1.0
159,FI,D21F,5.0,0.0531914893617021,0.0531914893617021,0.0016014641958361,0.0227974922514342,5.0,0.0531914893617021,0.0531914893617021,0.0016014641958361,0.0227974922514342,1,95,4,4.0
160,FI,D21D,1.0,0.0666666666666666,0.2666666666666666,0.0,0.0279507088532021,1.0,0.0666666666666666,0.2666666666666666,0.0,0.0279507088532021,1,16,6,6.0
161,FI,C07K,0.0,0.0,0.0,0.0,0.0051020408163271,0.0,0.0,0.0,0.0,0.0051020408163271,1,44,1,1.0
162,FI,A61M,0.0,0.0,0.0,0.0,0.0277781506047999,0.0,0.0,0.0,0.0,0.0277781506047999,1,12,1,1.0
163,FI,G06K,0.0,0.0,0.0,0.0,0.0049751244089395,0.0,0.0,0.0,0.0,0.0049751244089395,1,45,7,7.0
164,FI,G02B,0.0,0.0,0.0,0.0,0.0103092783505161,0.0,0.0,0.0,0.0,0.0103092783505161,1,25,6,6.0
165,FI,C23C,5.0,0.2272727272727273,0.275,0.0735930735930736,0.0742105811341083,5.0,0.2272727272727273,0.275,0.0735930735930736,0.0742105811341083,1,23,5,5.0
166,FI,C07D,4.0,0.0952380952380952,0.0992063492063492,0.0,0.02538032798335,4.0,0.0952380952380952,0.0992063492063492,0.0,0.02538032798335,1,43,4,4.0
167,FI,H04W,0.0,0.0,0.0,0.0,0.0007230657989878,0.0,0.0,0.0,0.0,0.0007230657989878,1,331,1,1.0
168,FI,B01J,1.5,0.0714285714285714,0.0773809523809523,0.0,0.044985583279648,1.5,0.0714285714285714,0.0773809523809523,0.0,0.044985583279648,2,22,2,2.0
