pair,fiveyear,totGMIs,rank
"GB-CY","2006-10",1,601
"GB-CY","2011-15",3,438
"GB-CZ","2006-10",7,260
"GB-CZ","2011-15",5,367
"GB-DE","1986-90",25,39
"GB-DE","1991-95",82,23
"GB-DE","1996-00",182,23
"GB-DE","2001-05",226,26
"GB-DE","2006-10",240,33
"GB-DE","2011-15",311,34
"GB-DK","1986-90",3,135
"GB-DK","1991-95",4,158
"GB-DK","1996-00",21,91
"GB-DK","2001-05",24,108
"GB-DK","2006-10",18,160
"GB-DK","2011-15",34,126
"GB-EE","2011-15",1,722
"GB-EG","2006-10",1,658
"GB-ES","1986-90",1,255
"GB-ES","1991-95",5,153
"GB-ES","1996-00",8,176
"GB-ES","2001-05",19,125
"GB-ES","2006-10",44,100
"GB-ES","2011-15",43,112
"GB-FI","1986-90",2,161
"GB-FI","1991-95",7,122
"GB-FI","1996-00",23,89
"GB-FI","2001-05",27,107
"GB-FI","2006-10",34,118
"GB-FI","2011-15",18,187
"GB-FR","1986-90",38,30
"GB-FR","1991-95",68,28
"GB-FR","1996-00",147,27
"GB-FR","2001-05",169,36
"GB-FR","2006-10",208,40
"GB-FR","2011-15",197,49
"GB-GB","1986-90",0,346
"GB-GB","1991-95",0,437
"GB-GB","1996-00",0,549
"GB-GB","2001-05",0,636
"GB-GB","2006-10",0,787
"GB-GB","2011-15",0,857
"GD-CN","2011-15",1,655
"GE-DE","2011-15",3,497
"GE-GE","1996-00",0,579
"GE-GE","2001-05",0,635
"GE-GE","2006-10",0,780
"GH-FI","2001-05",1,591
"GH-FI","2006-10",1,535
"GH-KR","1991-95",1,352
"GI-AU","2006-10",1,580
"GI-AU","2011-15",1,770
"GI-DE","1996-00",1,524
"GI-DE","2006-10",1,579
"GI-ES","2006-10",1,528
"GI-ES","2011-15",1,597
"GI-GB","1986-90",1,199
"GI-GB","2006-10",1,688
"GI-GI","2001-05",0,634
"GI-GI","2006-10",0,825
"GI-GI","2011-15",0,869
"GL-US","2006-10",1,525
"GN-BE","2011-15",1,734
"GR-AT","2011-15",1,635
"GR-AU","2006-10",1,526
"GR-AU","2011-15",1,614
"GR-BE","2001-05",4,275
"GR-BE","2006-10",2,478
"GR-CH","2001-05",1,527
"GR-CH","2011-15",1,800
"GR-CN","2006-10",2,426
"GR-CY","2006-10",1,537
"GR-DE","1986-90",1,249
"GR-DE","1996-00",4,236
"GR-DE","2001-05",2,350
"GR-DE","2006-10",3,363
"GR-DE","2011-15",5,376
"GR-ES","2006-10",2,422
"GR-ES","2011-15",1,813
"GR-FI","1996-00",3,281
"GR-FI","2001-05",2,423
"GR-FR","1991-95",1,302
"GR-FR","1996-00",3,253
"GR-FR","2011-15",2,516
"GR-GB","1996-00",2,338
"GR-GB","2001-05",5,246
"GR-GB","2006-10",9,224
"GR-GB","2011-15",6,334
"GR-GR","1986-90",0,368
"GR-GR","1991-95",0,431
"GR-GR","1996-00",0,596
"GR-GR","2001-05",0,625
"GR-GR","2006-10",0,752
"GR-GR","2011-15",0,832
"GT-GB","2011-15",1,668
"GT-US","1986-90",1,214
"GT-US","1996-00",2,346
"GT-US","2001-05",1,463
"GT-US","2006-10",1,542
"GT-US","2011-15",2,559
